antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04471800025122472,0.04999371938198719,0.03014696646149981,0.6741573033707865,13.484839929987013,1.0,0.02791134730561645,2.9155365163794187,0.9691825553364014,0.46692607003891046,0.6570099553265677,0.6385861893738354
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04999371938198719,0.04471800025122472,0.03014696646149981,0.6030150753768844,13.484839929987013,1.0,0.02791134730561645,2.4063432651899523,0.974564767067742,0.46692607003891046,0.5844316916601415,0.6385861893738354
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03303605074739354,0.04999371938198719,0.021982163044843614,0.6653992395437264,13.309656648260315,1.0,0.020330567994289332,2.839223315937926,0.9564643877816129,0.360082304526749,0.6477910017199002,0.552548866003019
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04999371938198719,0.03303605074739354,0.021982163044843614,0.4396984924623116,13.309656648260315,1.0,0.020330567994289332,1.7257921605494948,0.9735373340133356,0.360082304526749,0.42055594940146307,0.552548866003019
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.031654314784574804,0.03818615751789976,0.021479713603818614,0.6785714285714285,17.77008928571428,1.0,0.020270956953333658,2.9923097321665333,0.9745751718770269,0.4441558441558442,0.6658099964551577,0.6205357142857142
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.03818615751789976,0.031654314784574804,0.021479713603818614,0.5624999999999999,17.77008928571428,1.0,0.020270956953333658,2.2133615662066854,0.9811936789865483,0.4441558441558442,0.5481985341808275,0.6205357142857142
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.02914206757944982,0.03579952267303103,0.021228488883306116,0.728448275862069,20.347988505747125,1.0,0.0201852167742566,3.5507065196802667,0.979396739092988,0.48563218390804586,0.7183659098668488,0.66071536600121
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.03579952267303103,0.02914206757944982,0.021228488883306116,0.5929824561403508,20.347988505747125,1.0,0.0201852167742566,2.3852975063780755,0.9861591188704669,0.48563218390804586,0.5807650838832104,0.66071536600121
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03818615751789976,0.03027257882175606,0.025122472051249845,0.6578947368421053,21.73236514522822,1.0,0.02396647858788923,2.8345878465210212,0.9918610421836227,0.5797101449275363,0.6472150259067359,0.7438851277571523
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03027257882175606,0.03818615751789976,0.025122472051249845,0.8298755186721992,21.732365145228215,1.0,0.02396647858788923,5.6535886838582,0.9837668393782383,0.5797101449275363,0.8231211968328821,0.7438851277571523
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.03818615751789976,0.09245069714859942,0.022233387765356112,0.5822368421052632,6.297809103260869,1.0,0.01870305088140005,2.172401480841148,0.8746127209768545,0.20509849362688296,0.5396799307958478,0.4113629862700229
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.09245069714859942,0.03818615751789976,0.022233387765356112,0.24048913043478262,6.29780910326087,1.0,0.01870305088140005,1.2663595493145363,0.9269079037397611,0.20509849362688296,0.2103348527349229,0.4113629862700229
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03818615751789976,0.041954528325587236,0.03014696646149981,0.7894736842105263,18.817365269461078,1.0,0.02854488423426975,4.550715990453461,0.984449958643507,0.6030150753768845,0.7802543595122591,0.7540182792310117
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.041954528325587236,0.03818615751789976,0.03014696646149981,0.718562874251497,18.817365269461078,1.0,0.02854488423426975,3.417508759457675,0.9883221887155281,0.6030150753768845,0.7073891918396458,0.7540182792310117
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.052882803667880916,0.04685341037558096,0.024368797889712347,0.46080760095011875,9.835091987034572,1.0,0.021891058187649845,1.7677300186426448,0.9484816374524871,0.3233333333333333,0.4343027558202287,0.4904574197780084
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04685341037558096,0.052882803667880916,0.024368797889712347,0.520107238605898,9.835091987034572,1.0,0.021891058187649845,1.973601755485365,0.9424817536098778,0.3233333333333333,0.49331216532381356,0.4904574197780084
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.08541640497424946,0.047607084537118455,0.029267679939706068,0.3426470588235294,7.197396399192923,1.0,0.02520125392724023,1.4488303859390592,0.9414785852766298,0.2820823244552058,0.3097880816795196,0.4787113922085985
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.047607084537118455,0.08541640497424946,0.029267679939706068,0.6147757255936676,7.1973963991929235,1.0,0.02520125392724023,2.3741587843476677,0.9041025559745638,0.2820823244552058,0.5787981803943396,0.4787113922085985
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.08541640497424946,0.03492023615123728,0.021856550684587365,0.2558823529411765,7.327623783326281,1.0,0.018873789651696855,1.2969451371880605,0.9441784395537431,0.2219387755102041,0.228957361937356,0.44089081675835806
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03492023615123728,0.08541640497424946,0.021856550684587365,0.6258992805755397,7.327623783326282,1.0,0.018873789651696855,2.4447523020880646,0.8947758972264487,0.2219387755102041,0.5909606060516236,0.44089081675835806
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.08541640497424946,0.04358748900891848,0.02047481472176862,0.23970588235294119,5.499419393117478,1.0,0.016751728108772193,1.2579506914389467,0.8945739099075415,0.1886574074074074,0.20505628177196805,0.3547232581793524
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04358748900891848,0.08541640497424946,0.02047481472176862,0.46974063400576366,5.499419393117478,1.0,0.016751728108772193,1.724785366706171,0.855449519048701,0.1886574074074074,0.42021771560498344,0.3547232581793524
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.08541640497424946,0.04094962944353724,0.02411757316919985,0.2823529411764706,6.8951281125947315,1.0,0.02061980303710522,1.3363816638901531,0.9348189351279586,0.23587223587223588,0.25171077468315417,0.4356549981955973
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04094962944353724,0.08541640497424946,0.02411757316919985,0.588957055214724,6.895128112594732,1.0,0.02061980303710522,2.22503173118205,0.8914756603361711,0.23587223587223588,0.5505682071919265,0.4356549981955973
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.08541640497424946,0.06845873633965582,0.02248461248586861,0.26323529411764707,3.845167296276309,1.0,0.0166371133386552,1.264367383810447,0.8090384478158887,0.1711281070745698,0.20909063868265754,0.2958378305450621
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06845873633965582,0.08541640497424946,0.02248461248586861,0.3284403669724771,3.8451672962763093,1.0,0.0166371133386552,1.3618799434126616,0.7943108061687548,0.1711281070745698,0.26572088469549376,0.2958378305450621
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04924004522044969,0.055395050873005905,0.022233387765356112,0.451530612244898,8.151100236012773,1.0,0.01950573295538019,1.7222564653850312,0.9227536046899596,0.2698170731707317,0.41936638352149375,0.42644557823129253
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.055395050873005905,0.04924004522044969,0.022233387765356112,0.4013605442176871,8.151100236012773,1.0,0.01950573295538019,1.588201288097658,0.9287662279120086,0.2698170731707317,0.3703568889571947,0.42644557823129253
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04609973621404346,0.055395050873005905,0.022987061926893607,0.49863760217983655,9.001482881981131,1.0,0.020433364694084518,1.8840761757043851,0.9318659683874674,0.2928,0.46923589773320196,0.4568017942871972
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.055395050873005905,0.04609973621404346,0.022987061926893607,0.41496598639455784,9.001482881981131,1.0,0.020433364694084518,1.630503939262042,0.94103592605511,0.2928,0.38669268075942526,0.4568017942871972
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.055395050873005905,0.06845873633965582,0.028262781057656075,0.5102040816326531,7.452724208949635,1.0,0.024470505875419143,1.9018967466398693,0.916595744680851,0.2956636005256242,0.47420910111617465,0.46152405916495043
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06845873633965582,0.055395050873005905,0.028262781057656075,0.41284403669724773,7.452724208949635,1.0,0.024470505875419143,1.6087803039819117,0.9294498381877023,0.2956636005256242,0.3784110872535624,0.46152405916495043
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.055395050873005905,0.050747393543524685,0.021102876523049867,0.38095238095238093,7.506836397925506,1.0,0.018291722076033867,1.533408056583537,0.9176196808510638,0.24815361890694237,0.3478578675085225,0.39839698255539835
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.050747393543524685,0.055395050873005905,0.021102876523049867,0.4158415841584158,7.506836397925507,1.0,0.018291722076033867,1.6170355908784135,0.9131269022098717,0.24815361890694237,0.3815844217400463,0.39839698255539835
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04924004522044969,0.06845873633965582,0.02411757316919985,0.4897959183673469,7.154615240591649,1.0,0.020746661896100353,1.8258208767742745,0.9047815651561192,0.2577181208053691,0.4523011469960152,0.4210447481744991
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.06845873633965582,0.04924004522044969,0.02411757316919985,0.35229357798165134,7.154615240591649,1.0,0.020746661896100353,1.467887182308371,0.9234481751168645,0.2577181208053691,0.3187487348806879,0.4210447481744991
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04609973621404346,0.06845873633965582,0.02688104509483733,0.5831062670299728,8.517631177661675,1.0,0.023725115408032446,2.2344813317865775,0.9252502590584304,0.30659025787965616,0.5524688500304226,0.4878834087443442
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.06845873633965582,0.04609973621404346,0.02688104509483733,0.39266055045871556,8.517631177661675,1.0,0.023725115408032446,1.5706212802518011,0.9474582615007712,0.30659025787965616,0.3633092760339524,0.4878834087443442
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.06845873633965582,0.050747393543524685,0.025248084411506094,0.3688073394495413,7.267512943954946,1.0,0.021773981976985185,1.503903111973195,0.9257790067998733,0.26871657754010697,0.3350635476191343,0.4331660459623944
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.050747393543524685,0.06845873633965582,0.025248084411506094,0.4975247524752475,7.267512943954946,1.0,0.021773981976985185,1.853904780880685,0.908505639066807,0.26871657754010697,0.4605979712048875,0.4331660459623944
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.045722899133274715,0.06845873633965582,0.02248461248586861,0.4917582417582418,7.183279564472225,1.0,0.01935448058941908,1.8328703782290017,0.9020313075655416,0.24520547945205481,0.4544076810460306,0.41009930436535946
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06845873633965582,0.045722899133274715,0.02248461248586861,0.3284403669724771,7.183279564472225,1.0,0.01935448058941908,1.4209863933671183,0.9240469044734924,0.24520547945205481,0.29626349367748983,0.41009930436535946
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.044089938449943473,0.06845873633965582,0.02235900012561236,0.5071225071225072,7.40771060404088,1.0,0.019340658654036027,1.890005685229947,0.9049026266444211,0.24791086350974934,0.4709010624598543,0.4168640058548316
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.06845873633965582,0.044089938449943473,0.02235900012561236,0.326605504587156,7.40771060404088,1.0,0.019340658654036027,1.4195394646996753,0.9285745669854429,0.24791086350974934,0.295546178977444,0.4168640058548316
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.044089938449943473,0.050747393543524685,0.021102876523049867,0.4786324786324786,9.431666243547431,1.0,0.018865427065220805,1.8206976222197968,0.9352074338276704,0.2862010221465076,0.4507599791442585,0.44723703139544724
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.050747393543524685,0.044089938449943473,0.021102876523049867,0.4158415841584158,9.431666243547431,1.0,0.018865427065220805,1.6363884104500965,0.9417663849978261,0.2862010221465076,0.38889814079962526,0.44723703139544724
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.056902399196080894,0.03969350584097475,0.024620022610224845,0.4326710816777042,10.900298991253807,1.0,0.02236136689536973,1.692680318498204,0.9630598110314983,0.34205933682373474,0.4092209916594118,0.5264621231173331
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.03969350584097475,0.056902399196080894,0.024620022610224845,0.620253164556962,10.900298991253807,1.0,0.02236136689536973,2.4834903487836537,0.9458015776618037,0.34205933682373474,0.5973408954499168,0.5264621231173331
frozenset({'PARTY BUNTING'}),frozenset({'SPOTTY BUNTING'}),0.0719758824268308,0.050998618264037184,0.020223590001256123,0.28097731239092494,5.509508334837816,1.0,0.016552919449152957,1.319849009064822,0.8819766483839835,0.1968215158924205,0.24233757563787603,0.338764518264428
frozenset({'SPOTTY BUNTING'}),frozenset({'PARTY BUNTING'}),0.050998618264037184,0.0719758824268308,0.020223590001256123,0.396551724137931,5.509508334837816,1.0,0.016552919449152957,1.5378685376926804,0.862480936897534,0.1968215158924205,0.3497493605660624,0.338764518264428
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03027257882175606,0.041954528325587236,0.024368797889712347,0.8049792531120332,19.186945610852984,1.0,0.02309872612404641,4.912531035607096,0.9774718230863736,0.5091863517060368,0.7964389450668541,0.6929087882326633
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.041954528325587236,0.03027257882175606,0.024368797889712347,0.5808383233532934,19.186945610852984,1.0,0.02309872612404641,2.3134925619538107,0.9893906482531537,0.5091863517060368,0.5677530948465763,0.6929087882326633
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.037558095716618514,0.11066448938575556,0.024745634970481094,0.6588628762541806,5.953697341497766,1.0,0.020589287485700172,2.6069737026829323,0.8645063580965857,0.20040691759918616,0.6164134686242276,0.44123620543696546
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.11066448938575556,0.037558095716618514,0.024745634970481094,0.22360953461975028,5.953697341497766,1.0,0.020589287485700172,1.2396364293474549,0.9355717112621527,0.20040691759918616,0.19331186440979273,0.44123620543696546
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.041954528325587236,0.09245069714859942,0.023489511367918603,0.5598802395209581,6.055987210361885,1.0,0.019610785975677402,2.062050796954883,0.8714347915406075,0.21177802944507362,0.5150458943704287,0.4069781632387399
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.09245069714859942,0.041954528325587236,0.023489511367918603,0.25407608695652173,6.055987210361885,1.0,0.019610785975677402,1.284374257108138,0.919921543955739,0.21177802944507362,0.22141074187240978,0.4069781632387399
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.0474814721768622,0.04434116317045597,0.02575053385253109,0.5423280423280423,12.230803243551119,1.0,0.02364515014716338,2.0880869382749574,0.9640119265494382,0.38973384030418257,0.5210927372467856,0.5615322931186955
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.04434116317045597,0.0474814721768622,0.02575053385253109,0.5807365439093485,12.23080324355112,1.0,0.02364515014716338,2.2718854075781603,0.9608441691672438,0.38973384030418257,0.5598369545117134,0.5615322931186955
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.025122472051249845,0.041954528325587236,0.022107775405099863,0.88,20.975089820359283,1.0,0.021053773939816927,7.98371226395344,0.9768656803832683,0.4916201117318436,0.8747449849219877,0.7034730538922156
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03014696646149981,0.03027257882175606,0.022107775405099863,0.7333333333333334,24.224343015214387,1.0,0.021195148986657274,3.6364778294184155,0.9885200927811988,0.577049180327869,0.7250086355785839,0.7318118948824344
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.024368797889712347,0.03818615751789976,0.022107775405099863,0.9072164948453609,23.75773195876289,1.0,0.021177224650361443,10.366215857862647,0.9818345681613353,0.5465838509316772,0.9035327824819013,0.7430819316332068
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",0.03818615751789976,0.024368797889712347,0.022107775405099863,0.5789473684210527,23.75773195876289,1.0,0.021177224650361443,2.317124105011933,0.995939544326641,0.5465838509316772,0.5684305394618256,0.7430819316332068
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.03027257882175606,0.03014696646149981,0.022107775405099863,0.7302904564315353,24.224343015214387,1.0,0.021195148986657274,3.595916632042748,0.9886481394253415,0.577049180327869,0.7219067897489254,0.7318118948824344
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",0.041954528325587236,0.025122472051249845,0.022107775405099863,0.5269461077844312,20.975089820359283,1.0,0.021053773939816927,2.060817052752421,0.9940283919568041,0.4916201117318436,0.5147555681061534,0.7034730538922156
